COUNTRY,CITY,ZONE,NW_AGO,ORDERS
MX,La Paz,LA PAZ,8,3361.0
MX,Valle De Chalco,Valle_de_Chalco,8,3360.0
MX,Ciudad Del Carmen,Cd del carmen,8,3332.0
PE,Cusco,Centro Cusco,8,3326.0
MX,Culiacan,Villa_Universidad,8,3306.0
MX,Playa Del Carmen,PDC_Centro,8,3298.0
AR,Buenos Aires,Monte Grande,8,3290.0
MX,Matamoros,Mat_zona_centro,8,3288.0
MX,Aguascalientes,AGS_Centro,8,3287.0
MX,Ciudad Juarez,JRZ_SanLorenzo,8,3255.0
MX,Reynosa,Rey_benito_juarez,8,3235.0
MX,Coatzacoalcos,Coatzacoalcos,8,3194.0
AR,Buenos Aires,Castelar - Ituzaingo,8,3179.0
AR,Cordoba,CORDOBA_COLON,8,3152.0
MX,Saltillo,Sal_Ramos Arizpe,8,3152.0
BR,Rio De Janeiro,Jardim Oceanico,8,3142.0
CL,Santiago De Chile,la_cisterna_san_miguel,8,3138.0
CO,Sincelejo,Sincelejo,8,3130.0
MX,Mazatlan,Maz_2,8,3127.0
PE,Lima,Pumacahua,8,3117.0
AR,Cordoba,General Paz,8,3066.0
MX,Cancun,Cun_Hacienda-Valle Verde,8,3055.0
MX,Culiacan,21_de_Marzo,8,3055.0
MX,Mexicali,MXL_Sur,8,3036.0
EC,Guayaquil,Urdesa,8,3036.0
PE,Lima,La Florida,8,2979.0
CO,Barranquilla,Barranquilla sur,8,2960.0
AR,Buenos Aires,San Fernando - Tigre,8,2949.0
MX,Cancun,Cun Alfredo bonfil,8,2944.0
MX,Chilpancingo De Los Bravo,Chilpancingo Norte,8,2936.0
CO,Valledupar,La elvira,8,2870.0
AR,Neuquen,Neuquen Centro,8,2865.0
MX,Toluca,Tol_Toltepec-lerma,8,2842.0
MX,Ciudad De Mexico,CDMX_Cuautitlán_Izcalli_Centro,8,2841.0
AR,Mar Del Plata,MAR_DEL_PLATA_SUR,8,2839.0
CO,Valledupar,El viajero,8,2818.0
MX,Merida,MID_CHOLUL,8,2797.0
BR,Belo Horizonte,MG - BH - Buritis e Belvedere,8,2787.0
MX,Acapulco,ACA la costera,8,2779.0
MX,Hermosillo,Hmo_Sur,8,2756.0
AR,Cordoba,Cordoba Zona Sur,8,2746.0
MX,Ciudad Obregon,COB_OBREGON,8,2740.0
AR,Buenos Aires,Boulogne,8,2733.0
BR,Recife,PE - OLD - Zona Oeste,8,2723.0
MX,Ciudad Juarez,JRZ_Centro,8,2701.0
MX,Veracruz,VER_Río Medio-Amapolas,8,2694.0
PE,Cusco,Magisterio,8,2694.0
EC,Quito,Cumbaya,8,2685.0
MX,Cordoba,Cordoba,8,2670.0
CO,Barranquilla,Soledad,8,2635.0
CO,Palmira,Palmira oriente,8,2626.0
MX,Puerto Vallarta,Pvr_NuevoVallarta,8,2610.0
PE,Arequipa,Arequipa Sur,8,2610.0
MX,Toluca,Tol_Metepec,8,2599.0
MX,Cd. Victoria,CdVictoria_centro_Aguayo_Santander,8,2591.0
BR,Rio De Janeiro,Flamengo,8,2589.0
MX,Acapulco,ACA las brisas,8,2546.0
MX,Irapuato,Irapuato,8,2516.0
BR,Porto Alegre,RS - POA - Moinhos de Vento,8,2515.0
AR,Parana,Parana,8,2480.0
BR,Rio De Janeiro,Reserva,8,2466.0
MX,Tijuana,TIJ_Santa_Fe,8,2445.0
